id,fid,name,file,text,created_at,updated_at
15,19412370,fileInfoGenerated,,"
 
     public void fileInfoGenerated(FileInfoEvent e) {
//      FileInfoContainer fileInfo = e.getInfoContainer();
//        if (fileInfo.getClass().equals(StatusInformation.class)) {
//          System.err.println(""A file status event was received."");
//          System.err.println(""The status information object is: "" +
//                             fileInfo);
//        }
    }
",2021-02-23 16:11:10.93741,2021-02-23 16:11:10.93741
16,19413001,messageSent,,"
 
     public void messageSent(MessageEvent e) {
        String str = e.getMessage();
        if (str.endsWith(DIR_ADDED)) {
            str = str.substring(DIRECTORY.length(), str.indexOf(DIR_ADDED)).trim();
            createCvsFiles(str);
        }
        super.messageSent(e);
    }
",2021-02-23 16:11:10.957425,2021-02-23 16:11:10.957425
17,4627680,updateSchema,,"
 
     public void updateSchema(String kind, SchemaTO schemaTO) {
        try {
            restTemplate.postForObject(baseURL
                    + ""schema/"" + kind + ""/update"", schemaTO, SchemaTO.class);
        } catch (SyncopeClientCompositeErrorException e) {
            LOG.error(""While updating a user schema"", e);
        }
    }
",2021-02-23 16:11:10.976907,2021-02-23 16:11:10.976907
18,15689897,getAll,,"
 
     public List getAll(Object key) {
        Object value = mMap.get(key);
        if (value instanceof List) {
            return ((List)value);
        }
        else {
            List list = new ArrayList();
            if (value != null || mMap.containsKey(key)) {
                list.add(value);
            }
            mMap.put(key, list);
            return list;
        }
    }
",2021-02-23 16:11:10.99574,2021-02-23 16:11:10.99574
19,4114383,add,,"
 
     public boolean add(Date date) {
	if (dates.contains(date)) 
	    return false; 
	
	boolean added = false;
	for (int i=0; i < dates.size() && !added; i++) {
	    Date nextDate = dates.get(i);
	    if (date.before(nextDate)) {
		dates.add(i, date);
		added = true;
	    }
	}
	if (!added) {
	    dates.add(date);
	}
	return true;
    }
",2021-02-23 16:11:11.015561,2021-02-23 16:11:11.015561
20,29318894,getTargetServiceName,,"
 
   protected String getTargetServiceName(AddressingHeaders headers) throws Exception {
    To toURI = headers.getTo();
    if (toURI == null) {
      return null;
    }
    String to = toURI.getPath();
    if (to == null) {
      return null;
    }
    // set the target service
    return (to.substring(to.lastIndexOf('/') + 1));
  }
",2021-02-23 16:11:11.034694,2021-02-23 16:11:11.034694
21,22407318,jbInit,,"
 
     private void jbInit() throws Exception {
        setLayout(new GridBagLayout());

        add(m_environmentpanel,
            new GridBagConstraints(0, 0, 1, 1, 1.0, 1.0,
                                   GridBagConstraints.CENTER,
                                   GridBagConstraints.HORIZONTAL,
                                   new Insets(0, 0, 0, 0), 0, 0));
    }
",2021-02-23 16:11:11.054088,2021-02-23 16:11:11.054088
22,22407577,setTargetMap,,"
 
     public AntTargetMap setTargetMap() {
        AntTargetMap targetMap = null;
        String strDefaultTarget = null;
        targetMap = m_buildfile.getTargetMap();
        strDefaultTarget = m_buildfile.getDefaultTarget();

        if (m_bSelectWithDescription) {
            targetMap.selectWithDescription();

        }
        setTargetMap(targetMap);

        return m_targetMap;
    }
",2021-02-23 16:11:11.072496,2021-02-23 16:11:11.072496
23,1412807,capitalizeString,,"
 
     public String capitalizeString(String s) {
        String result = """";
        
        for(int i = 0; i < s.length(); i++) {
            if(i == 0 || s.substring(i-1, i).equals("" ""))
                result += s.substring(i, i + 1).toUpperCase();
            else
                result += s.substring(i, i + 1);
                
        }
        
        return result;
    }
",2021-02-23 16:11:11.093757,2021-02-23 16:11:11.093757
24,48714932,getRootElement,,"
 
     protected Element getRootElement() {
        Assert.notNull(resource, ""resource cannot be null"");
        Document document = xmlDefinitionLoader.loadDocument(resource, new ClassPathResource(""org/impalaframework/module/source/moduledefinition.xsd"", this.getClass().getClassLoader()));

        Element root = document.getDocumentElement();
        return root;
    }
",2021-02-23 16:11:11.114348,2021-02-23 16:11:11.114348
25,48714949,repairModules,,"
 
     public void repairModules() {
        RootModuleDefinition rootModuleDefinition = getModuleStateHolder().getRootModuleDefinition();
        ModuleOperation operation = facade.getModuleOperationRegistry().getOperation(
                ModuleOperationConstants.RepairModuleOperation);
        ConstructedModuleDefinitionSource newModuleDefinitionSource = new ConstructedModuleDefinitionSource(
                rootModuleDefinition);

        ModuleOperationInput input = new ModuleOperationInput(newModuleDefinitionSource, null, null);
        execute(operation, input);
    }
",2021-02-23 16:11:11.137748,2021-02-23 16:11:11.137748
26,18123253,setSelectedScript,,"
 
 	public void setSelectedScript(Object script) {
		selectedScript = script;

		// expand to and select the specified container
		List itemsToExpand = new ArrayList();
		IContainer parent = project.getParent();
		while (parent != null) {
			itemsToExpand.add(0, parent);
			parent = parent.getParent();
		}
		treeViewer.setExpandedElements(itemsToExpand.toArray());
		treeViewer.setSelection(new StructuredSelection(project), true);
	}
",2021-02-23 16:11:11.168217,2021-02-23 16:11:11.168217
27,38737384,setSecurityMode,,"
 
     public int setSecurityMode(int level,String authToken) throws RemoteException {
        if(!this.authToken.equals(authToken)){
            throw new RemoteException(""Invalid Login Token"");
        }
        serverSettingBean.setSecureMode(""""+level);
        serverSettingBean.updateSettings();
        securityMode=level;
        return securityMode;
    }
",2021-02-23 16:11:11.18633,2021-02-23 16:11:11.18633
28,50994916,setPhoto,,"
 
 	public void setPhoto(JdaiPhoto photo) {
		String text = null;
		if (photo != null) {
			label.setText("""");
			try {
				text = photo.getSection().getInfoStore().getCaption(photo);
			} catch (JdaiReadException e) {
				JdaiGuiHelpers.reportException(""Unable to read caption"", e);
			}
			if (text == null || text.equals(""""))
				text = ""No caption set"";
		} else {
			label.setIcon(null);
		}
		label.setToolTipText(text);
		setNewPhoto(photo);
	}
",2021-02-23 16:11:11.206972,2021-02-23 16:11:11.206972
29,50995324,createCacheFile,,"
 
   protected void createCacheFile(Photo photo, File photoCacheFile, PhotoDimension dimension) throws IOException {
    OutputStream photoOS = new BufferedOutputStream(new FileOutputStream(photoCacheFile));
    PhotoHelper.getInstance().writeUncachedThumbnail(photo, photoOS);
    photoOS.close();
  }
",2021-02-23 16:11:11.225811,2021-02-23 16:11:11.225811
30,14477536,go,,"
 
 	public void go(String theUserName) {
		try {
			new ChatUI((MessageInputReceiver) this, theUserName);

			// shake hands
			writer.println(theUserName);
			writer.flush();
			// OK means init with server went well
			if (reader.readLine().equals(""OK"")) {
				initialized = true;
				readChat();
			} else {
				bailOut(new IOException(""handshake failed""));
			}
		} catch (IOException ioe) {
			bailOut(ioe);
		} catch (Exception e) {
			bailOut(e);
		}
	}
",2021-02-23 16:11:11.245223,2021-02-23 16:11:11.245223
31,39840471,testCookieGreaterThan,,"
 
     public void testCookieGreaterThan() throws ServletException,  JspException {
        GreaterThanTag gt = new GreaterThanTag();
        gt.setPageContext(pageContext);
        gt.setCookie(COOKIE_KEY);
        gt.setValue(LESSER_VAL);

        assertTrue(
        	""Cookie Value ("" + GREATER_VAL + "") is greater than value ("" + LESSER_VAL + "")"", 
        	gt.condition());
    }
",2021-02-23 16:11:11.264047,2021-02-23 16:11:11.264047
32,44118809,remove,,"
 
     public void remove() {
        // FIXME (magda) wlaciwie to powinna byc tez metoda mapy/jakiegos
        // nadrzednego obiektu tego przejscia, ktora usunie je z mapy. choc
        // jakbysmy trzymali parenta, to nie byloby problemu, bo w tej metodzie
        // obiekt by sie odczepial od kolekcji parenta i gc() bo go usunelo
    }
",2021-02-23 16:11:11.283422,2021-02-23 16:11:11.283422
33,49866815,createChecklistItem,,"
 
   public long createChecklistItem(long listId, String item, boolean isDone) {
    ContentValues values = new ContentValues();
    values.put(KEY_LIST_ID, listId);
    values.put(KEY_IS_DONE, isDone);
    values.put(KEY_ITEM, item);
    return mDb.insert(CHECKLIST_ITEM_TBL, null, values);
  }
",2021-02-23 16:11:11.305203,2021-02-23 16:11:11.305203
34,51122387,getMessage,,"
 
    public String getMessage() {
      StringBuffer sb = new StringBuffer();

      if (messages != null) {
         for (int i = 0; i < messages.size(); i++) {
            Object o = messages.elementAt(i);

            if (o != null) {
               sb.append(o.toString())
                 .append(""\n"");
            }
         }
      }

      return sb.toString();
   }
",2021-02-23 16:11:11.327119,2021-02-23 16:11:11.327119
35,49121415,createDataset,,"
 
     private XYDataset createDataset(double[]values,String name) {

        // create dataset 1...
        final XYSeries series = new XYSeries(name);
        
        for(int i=0; i<values.length;i++){
        	series.add(i,values[i]);
        }
        
        final XYSeriesCollection collection = new XYSeriesCollection();
        collection.addSeries(series);
        return collection;

    }
",2021-02-23 16:11:11.345773,2021-02-23 16:11:11.345773
36,43137003,getNAGString,,"
 
    public String getNAGString (boolean allNumeric) {
      if (nags == null) return null;

      StringBuilder sb = new StringBuilder();
      String suff = null;
      int count = 0;

         for (int i=0; i<nags.length; i++) {
	    suff = NAG.numberToString(nags[i], allNumeric);

	    if (suff != null) {
	       if (count++ > 0)
	          sb.append("" "");
	       sb.append(suff);
	    }
	 }
      return sb.toString();
   }
",2021-02-23 16:11:11.365514,2021-02-23 16:11:11.365514
37,2896279,print,,"
 
   public String print(String tab) {
    if (content instanceof RegExp) {
      return tab+""type = ""+type+Out.NL+tab+""content :""+Out.NL+((RegExp)content).print(tab+""  "");
    }
    else
      return tab+""type = ""+type+Out.NL+tab+""content :""+Out.NL+tab+""  ""+content;

  }
",2021-02-23 16:11:11.386009,2021-02-23 16:11:11.386009
38,21344301,loadCurrentApplicationSpec,,"
 
 	private ApplicationSpec loadCurrentApplicationSpec() {
		ApplicationSpec currentApplicationSpec = null;
		if (currentApplicationSpecFile != null && currentApplicationSpecFile.exists()) {
			try {
				currentApplicationSpec = applicationSpecSerializer
						.downloadApplicationSpec(new BufferedInputStream(new FileInputStream(
								currentApplicationSpecFile)));
				if (!validateCurrentApplicationSpec(currentApplicationSpec))
					currentApplicationSpec = null;
			} catch (Exception e) {
				log.error(""Could not read local application spec file"", e);
			}
		}
		return currentApplicationSpec;
	}
",2021-02-23 16:11:11.418561,2021-02-23 16:11:11.418561
39,38221424,removeService,,"
 
   public void removeService(String type) {
    CService service = (CService) services.get(type);
    if (service != null) {
      service.unsetContext();
      services.remove(type);
      fireServiceChanged(new CServiceEvent(this, service, CServiceEvent.REMOVED));
    }
  }
",2021-02-23 16:11:11.441068,2021-02-23 16:11:11.441068
40,38221537,addDigit,,"
 
   private void addDigit(char digit) {
    if (digit == '0' && value.equals(""0"")) return;
    if (value.equals(""0"")) value = """";
    if (update) {
      value = """";
      minus = false;
      comma = false;
    }
    update = false;
    value += digit;
    showValue();
  }
",2021-02-23 16:11:11.460273,2021-02-23 16:11:11.460273
41,48023365,evaluatePopulation,,"
 
 	public void evaluatePopulation (IntegerTypePopulation population, Simulation simulation, Object[] object){
		
		IntegerTypePopulation intPopulation = (IntegerTypePopulation) population;
		
		for (int i = 0; i < intPopulation.getChromossomesSet().size(); i++){
			
			intPopulation.getChromossomesSet().get(i).setFitness(this.calculateFitness(simulation.getChromossomesConfiguration(), intPopulation, i));
			
		}
		
		
	}
",2021-02-23 16:11:11.480609,2021-02-23 16:11:11.480609
42,41287529,play,,"
 
     public void play(){
        if(currentState == SimulatorState.STOPPED){
            setSimulationTime(0);
            simItem.initialize();
            startTimer();
            setState(SimulatorState.PLAYING);
        }
        else if(currentState == SimulatorState.PAUSED){
            startTimer();
            setState(SimulatorState.PLAYING);
        }
    }
",2021-02-23 16:11:11.500333,2021-02-23 16:11:11.500333
43,16777940,readFromFile,,"
 
    private void readFromFile() {
      try {
         FileReader fr = new FileReader(this.credentials);
         BufferedReader br = new BufferedReader(fr);
         this.username = br.readLine();
         this.password = br.readLine();
         br.close();
         fr.close();
      }
      catch (Exception e) {
         this.username = """";
         this.password = """";
      }
   }
",2021-02-23 16:11:11.520729,2021-02-23 16:11:11.520729
44,1736289,resetSchedConflict,,"
 
 	public void resetSchedConflict() {
		try {
			if (listData == null || listData.size() == 0)
				return;
			for (int i = 0; i < listData.size(); i++) {
				TblAuditor auditor = (TblAuditor) listData.get(i);
				auditor.setSchedConflict(false);
			}
		} catch (Exception ex) {
			logger.error(ex);
			FacesUtils.addErrorMessage(ex.getMessage());
		}
	}
",2021-02-23 16:11:11.542386,2021-02-23 16:11:11.542386
45,1741129,otherDoEndTagOperations,,"
 
     private void otherDoEndTagOperations() {
        //
        // TODO: code that performs other operations in doEndTag
        //       should be placed here.
        //       It will be called after initializing variables,
        //       finding the parent, setting IDREFs, etc, and
        //       before calling shouldEvaluateRestOfPageAfterEndTag().
        //
    }
",2021-02-23 16:11:11.563841,2021-02-23 16:11:11.563841
46,36634895,swapItems,,"
 
     public void swapItems(int index, int change){
        if(index >= 0 && index < allItems.length &&
                change >= 0 && change < allItems.length){
            MenuItem temp = allItems[index];
            allItems[index] = allItems[change];
            allItems[change] = temp;
        }
    }
",2021-02-23 16:11:11.583019,2021-02-23 16:11:11.583019
47,29601536,getBackCommand2,,"
 
     public Command getBackCommand2() {
        if (backCommand2 == null) {//GEN-END:|92-getter|0|92-preInit
            // write pre-init user code here
            backCommand2 = new Command(""Back"", Command.BACK, 0);//GEN-LINE:|92-getter|1|92-postInit
        // write post-init user code here
        }//GEN-BEGIN:|92-getter|2|
        return backCommand2;
    }
",2021-02-23 16:11:11.602759,2021-02-23 16:11:11.602759
48,19630615,addComponentDefinitionIdPropertyDescriptor,,"
 
 	protected void addComponentDefinitionIdPropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""_UI_ComponentDefinitionReference_componentDefinitionId_feature""),
				 getString(""_UI_PropertyDescriptor_description"", ""_UI_ComponentDefinitionReference_componentDefinitionId_feature"", ""_UI_ComponentDefinitionReference_type""),
				 WorkflowPackage.Literals.COMPONENT_DEFINITION_REFERENCE__COMPONENT_DEFINITION_ID,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.GENERIC_VALUE_IMAGE,
				 null,
				 null));
	}
",2021-02-23 16:11:11.621392,2021-02-23 16:11:11.621392
49,19632303,addUriPropertyDescriptor,,"
 
 	protected void addUriPropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""_UI_ConfigurationPropertyReference_uri_feature""),
				 getString(""_UI_PropertyDescriptor_description"", ""_UI_ConfigurationPropertyReference_uri_feature"", ""_UI_ConfigurationPropertyReference_type""),
				 CanvasPackage.Literals.CONFIGURATION_PROPERTY_REFERENCE__URI,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.GENERIC_VALUE_IMAGE,
				 null,
				 null));
	}
",2021-02-23 16:11:11.642077,2021-02-23 16:11:11.642077
50,12723449,vDice,,"
 
 protected AbstractMatrix3D vDice(int axis0, int axis1, int axis2) {
	super.vDice(axis0,axis1,axis2);
	
	// swap offsets
	int[][] offsets = new int[3][];
	offsets[0] = this.sliceOffsets;
	offsets[1] = this.rowOffsets;
	offsets[2] = this.columnOffsets;

	this.sliceOffsets = offsets[axis0];
	this.rowOffsets = offsets[axis1];
	this.columnOffsets = offsets[axis2];

	return this;
}
",2021-02-23 16:11:11.663177,2021-02-23 16:11:11.663177
51,12725774,actionPerformed,,"
 
 	public void actionPerformed(ActionEvent e) {
		int[] selectedRows = features.getSelectedRows();
		if (selectedRows.length > 0) {
			boolean valueToBeSet = ((Boolean) features.getValueAt(
					selectedRows[0], 0)).booleanValue();
			for (int i = 0; i < selectedRows.length; ++i) {
				features.setValueAt(new Boolean(!valueToBeSet),
						selectedRows[i], 0);
			}
		}
	}
",2021-02-23 16:11:11.681274,2021-02-23 16:11:11.681274
52,51019251,fScore,,"
 
     public double fScore(ONDEXConcept x, ONDEXConcept y) {
        double recall = recall(x, y);
        double precision = precision(x, y);
        double score = 0;
        if (recall + precision != 0) {
            score = (2d * recall * precision) / (recall + precision);
        }
        return score;
    }
",2021-02-23 16:11:11.699883,2021-02-23 16:11:11.699883
53,7848915,draw,,"
 
 	public void draw() {
		p4vj.cSketch.stroke(0);
		p4vj.cSketch.fill(128);
		p4vj.cSketch.rect(xPos, yPos, xSize, ySize);
		drawFPS();
		p4vj.cSketch.fill(255);
		p4vj.cSketch.textAlign(p.LEFT, p.BASELINE);
		p4vj.cSketch.textFont(p4vj.fontSS14, 14);
		p4vj.cSketch.text("" :: Control FPS"", xPos, yPos + ySize - 5);
	}
",2021-02-23 16:11:11.722818,2021-02-23 16:11:11.722818
54,19682824,handleHalt,,"
 
 	private int handleHalt() {
		//need to test that this is the root process
		if(processID == 0){
			Machine.halt(); 
		}else{
			//System.err.println(""non-root process trying to call halt"");
			return -1; //This is not the root process so ignore this one
		}
		
		Lib.assertNotReached(""Machine.halt() did not halt machine!"");
		return 0;
	}
",2021-02-23 16:11:11.749779,2021-02-23 16:11:11.749779
55,36760565,releaseExclusiveLock,,"
 
 	public void releaseExclusiveLock() {
		this.lock.lock();
		try {
			if (readers != 0  || writers != 1 ){
				this.throwError(""There should be no readers(""+readers+""), and just one writer (""+writers+"")"");
			}
			writers--;
			//wake up a writer if it is waiting; if not, wake up all the readers that are waiting, if any 
			if (writersWaitingCount > 0) {
				writersWaiting.signal();
			} else if (readersWaitingCount > 0) {
				readersWaiting.signalAll();
			}
		} finally {
			this.lock.unlock();
		}
	}
",2021-02-23 16:11:11.78986,2021-02-23 16:11:11.78986
56,37563349,getBounds,,"
 
 public Rectangle getBounds() {
	if (isDisposed()) SWT.error(SWT.ERROR_GRAPHIC_DISPOSED);
  java.awt.Rectangle bounds = handle.getBounds();
  return new Rectangle((int)bounds.getX(), (int)bounds.getY(), (int)bounds.getWidth(), (int)bounds.getHeight());
}
",2021-02-23 16:11:11.808489,2021-02-23 16:11:11.808489
57,35553511,refreshTreePanel,,"
 
 	public void refreshTreePanel() {

		root.removeAllChildren();

		root = new DefaultMutableTreeNode(""ALL"");
		treeModel = new DefaultTreeModel(root);

		tree.setModel(treeModel);
		tree.setBounds(new Rectangle(0, 0, 196, 443));
		tree.setLayout(null);
		tree.setBackground(Color.white);

		tree.setCellRenderer(new UserIconRenderer());

		addAllUsers();

		TreePath treePath = tree.getPathForRow(0);
		tree.fireTreeExpanded(treePath);
	}
",2021-02-23 16:11:11.829216,2021-02-23 16:11:11.829216
58,35553791,createServerChooser,,"
 
 	public void createServerChooser() {

		MainMenuBar mainMenuBar = MainMenuBar.getInstance();

		int nodeId = dbMgr.getNodeId((String) cbNE.getSelectedItem());

		DownloadFileChooser downloadFile = new DownloadFileChooser(nodeId, DBDataDesc.SHELF_OLT1, tfFileName, tfFileNameOnly);
		mainMenuBar.putCommand((Object) downloadFile);
		downloadFile.setViewId(mainMenuBar.getViewId());
		downloadFile.setVisible(true);
	}
",2021-02-23 16:11:11.848696,2021-02-23 16:11:11.848696
59,23014476,addRotation,,"
 
     public void addRotation(Vector3f axis, Angle rotation) {
        Quaternion q = new Quaternion(rotation, axis);
        Matrix result = new Matrix(4, 4);
        Matrix quaternion = q.getRotationMatrix();
       
        Matrix.multiply(matrix,q.getRotationMatrix(), result);
        matrix = result;
    }
",2021-02-23 16:11:11.87656,2021-02-23 16:11:11.87656
60,50891793,testSetExample,,"
 
     public void testSetExample() {
        System.out.println(""testSetExample"");
        testString = ""<tag:foo>\n"";
        testString += ""\t<tag:bar />"";
        testString += ""</tag:foo>"";
        tag.setExample(testString);
        assertEquals( tag.getExample(), testString );
    }
",2021-02-23 16:11:11.896859,2021-02-23 16:11:11.896859
61,46026508,saveSetting,,"
 
 	private void saveSetting(CustomProperties prop) {
		prop.setProperty(""avalanchefever.gametype"", mapSet);
		prop.setProperty(""avalanchefever.outlinetype"", outlinetype);
		prop.setProperty(""avalanchefever.numcolors"", numColors);
		prop.setProperty(""avalanchefever.version"", version);
		prop.setProperty(""avalanchefever.chainDisplayType"", chainDisplayType);
		prop.setProperty(""avalanchefever.bigDisplay"", bigDisplay);
	}
",2021-02-23 16:11:11.914079,2021-02-23 16:11:11.914079
62,40776207,process,,"
 
 	public void process(WorkerIsReadyMessageHandle handle, ServiceManager serviceManager) {
		WorkerIsReadyProcessorRequestTO to = new WorkerIsReadyProcessorRequestTO();
		ServiceID workerID = serviceManager.getSenderServiceID();
		
		to.setWorkerAddress(workerID.toString());
		to.setWorkerContainerID(workerID.getContainerID().toString());
		
		OurGridRequestControl.getInstance().execute(to, serviceManager);
	}
",2021-02-23 16:11:11.932137,2021-02-23 16:11:11.932137
63,40778768,configBalanceRanking,,"
 
 	private void configBalanceRanking(List<IResponseTO> responses, String filePath) {
		
		PeerDAOFactory.getInstance().getAccountingDAO().loadBalancesRanking(filePath);
		long frequence = AccountingConstants.RANKING_SAVING_FREQ;

		ScheduleActionWithFixedDelayResponseTO to = new ScheduleActionWithFixedDelayResponseTO();
		to.setActionName(PeerConstants.SAVE_ACCOUNTING_ACTION_NAME);
		to.setDelay(frequence);
		to.setTimeUnit(TimeUnit.SECONDS);
		
		responses.add(to);
	}
",2021-02-23 16:11:11.949625,2021-02-23 16:11:11.949625
64,23286083,getScopePartnerLinks,,"
 
 	public EList getScopePartnerLinks(final EObject process) {
		TreeIterator contents = process.eAllContents();
		EList results = new BasicEList();
		
		while (contents.hasNext()) {
			EObject obj = (EObject) contents.next();
			
			if (obj instanceof Scope) {
				results.addAll(((Scope) obj).getPartnerLinks().getChildren());
			}	
		}
		return results;
	}
",2021-02-23 16:11:11.980189,2021-02-23 16:11:11.980189
